date, timeslot, station, inFlow, outFlow
20170501,0,2035,150,215
20170501,1,2035,168,270
20170501,2,2035,198,301
20170501,3,2035,237,407
20170501,4,2035,278,484
20170501,5,2035,289,540
20170501,6,2035,431,670
20170501,7,2035,454,638
20170501,8,2035,508,826
20170501,9,2035,615,1061
20170501,10,2035,739,1688
20170501,11,2035,719,2075
20170501,12,2035,712,1922
20170501,13,2035,774,1843
20170501,14,2035,881,2113
20170501,15,2035,838,2441
20170501,16,2035,887,2453
20170501,17,2035,1021,2628
20170501,18,2035,1032,3040
20170501,19,2035,1132,3186
20170501,20,2035,1129,3216
20170501,21,2035,1156,2989
20170501,22,2035,1260,2826
20170501,23,2035,1377,2726
20170501,24,2035,1329,2493
20170501,25,2035,1586,2602
20170501,26,2035,1685,2647
20170501,27,2035,1861,2783
20170501,28,2035,1985,3111
20170501,29,2035,2196,3059
20170501,30,2035,2302,3435
20170501,31,2035,2596,3498
20170501,32,2035,2814,3551
20170501,33,2035,2934,3255
20170501,34,2035,3145,3852
20170501,35,2035,3320,3626
20170501,36,2035,3420,3492
20170501,37,2035,3650,3331
20170501,38,2035,3806,3190
20170501,39,2035,3735,3232
20170501,40,2035,3955,3326
20170501,41,2035,3913,3280
20170501,42,2035,3869,3258
20170501,43,2035,4079,3178
20170501,44,2035,3992,3259
20170501,45,2035,4058,3216
20170501,46,2035,3953,2819
20170501,47,2035,3886,2699
20170501,48,2035,3588,2466
20170501,49,2035,3351,2173
20170501,50,2035,3126,2386
20170501,51,2035,3179,2164
20170501,52,2035,3006,1906
20170501,53,2035,2879,1884
20170501,54,2035,2958,1768
20170501,55,2035,3112,1768
20170501,56,2035,3058,1768
20170501,57,2035,3144,1734
20170501,58,2035,3241,1661
20170501,59,2035,3333,1573
20170501,60,2035,3184,1460
20170501,61,2035,3210,1463
20170501,62,2035,3037,1276
20170501,63,2035,2760,1048
20170502,64,2035,217,505
20170502,65,2035,323,494
20170502,66,2035,526,634
20170502,67,2035,659,856
20170502,68,2035,923,1219
20170502,69,2035,1124,1417
20170502,70,2035,1540,1892
20170502,71,2035,1837,2666
20170502,72,2035,2140,3976
20170502,73,2035,2156,5476
20170502,74,2035,1965,7004
20170502,75,2035,1816,7080
20170502,76,2035,1422,5859
20170502,77,2035,1157,4504
20170502,78,2035,998,3334
20170502,79,2035,917,2599
20170502,80,2035,881,1955
20170502,81,2035,830,1807
20170502,82,2035,877,1770
20170502,83,2035,894,1581
