,包含站点,站点名称
2048,"[313, 1228]",龙漕路
2049,"[418, 631]",浦电路
2050,"[243, 739]",静安寺
2051,"[315, 402, 933]",宜山路
2052,"[252, 752, 1621]",龙阳路
2053,"[1053, 1336]",新天地
2054,"[242, 1147]",江苏路
2055,"[320, 407, 1145]",曹杨路
2056,"[121, 1052, 1233]",陕西南路
2057,"[1146, 1328]",隆德路
2001,"[322, 409]",中潭路
2002,"[422, 831]",西藏南路
2003,"[741, 935]",肇嘉浜路
2004,"[641, 1247]",巨峰路
2005,"[326, 839]",虹口足球场
2006,"[425, 742]",东安路
2007,"[424, 1231]",大木桥路
2008,"[833, 1054]",老西门
2009,"[319, 406, 1327]",金沙江路
2010,"[249, 417, 632, 942]",世纪大道
2011,"[111, 501]",莘庄
2012,"[1151, 1229]",龙华
2013,"[236, 1042]",虹桥2号航站楼
2014,"[235, 1041, 1721]",虹桥火车站
2015,"[419, 630]",蓝村路
2016,"[746, 829]",耀华路
2017,"[120, 740]",常熟路
2018,"[841, 1061]",四平路
2019,"[246, 1056]",南京东路
2020,"[737, 1330]",长寿路
2021,"[836, 1236]",曲阜路
2022,"[949, 1251]",金海路
2023,"[627, 748]",高科西路
2024,"[321, 408, 736]",镇坪路
2025,"[118, 934, 1149]",徐家汇
2026,"[1057, 1237]",天潼路
2027,"[115, 311]",上海南站
2028,"[122, 1335]",黄陂南路
2029,"[117, 401]",上海体育馆
2030,"[324, 411]",宝山路
2031,"[938, 1337]",马当路
2032,"[414, 1240]",大连路
2033,"[936, 1232]",嘉善路
2034,"[126, 323, 410]",上海火车站
2035,"[123, 245, 835]",人民广场
2036,"[832, 939]",陆家浜路
2037,"[1050, 1148]",交通大学
2038,"[116, 1227]",漕宝路
2039,"[125, 1235, 1332]",汉中路
2040,"[621, 826, 1154]",东方体育中心
2041,"[244, 1234, 1334]",南京西路
2042,"[1160, 1623]",罗山路
2043,"[241, 318, 405]",中山公园
2044,"[316, 403, 1049]",虹桥路
2045,"[743, 1230]",龙华中路
2046,"[317, 404]",延安西路
2047,"[412, 1059]",海伦路
